method,crop_id,gt_valid,pred_labels,precision050,recall050,f1050,fp050,fn050,overseg_ratio
BA-TOS,crop02,265,394,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
BA-TOS,crop03,216,289,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
BA-TOS,crop04,272,398,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
BA-TOS,crop05,129,183,0.9133858267716536,0.8992248062015504,0.9062500000000001,11,13,0.9844961240310077
BA-TOS,crop06,271,367,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
BA-TOS,crop07,263,388,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
Otsu+WS,crop02,265,623,0.7727272727272727,0.9622641509433962,0.8571428571428572,75,10,1.2452830188679245
Otsu+WS,crop03,216,379,0.9377777777777778,0.9768518518518519,0.9569160997732427,14,5,1.0416666666666667
Otsu+WS,crop04,272,613,0.7724550898203593,0.9485294117647058,0.8514851485148515,76,14,1.2279411764705883
Otsu+WS,crop05,129,229,0.9767441860465116,0.9767441860465116,0.9767441860465116,3,3,1.0
Otsu+WS,crop06,271,526,0.770392749244713,0.940959409594096,0.8471760797342193,76,16,1.2214022140221403
Otsu+WS,crop07,263,599,0.78125,0.9505703422053232,0.8576329331046312,70,13,1.2167300380228137
Macke-MinTree+WS,crop02,265,132,0.24615384615384617,0.06037735849056604,0.09696969696969698,49,249,0.24528301886792453
Macke-MinTree+WS,crop03,216,250,0.7942857142857143,0.6435185185185185,0.710997442455243,36,77,0.8101851851851852
Macke-MinTree+WS,crop04,272,127,0.3230769230769231,0.07720588235294118,0.12462908011869436,44,251,0.23897058823529413
Macke-MinTree+WS,crop05,129,229,0.9921875,0.9844961240310077,0.9883268482490272,1,2,0.9922480620155039
Macke-MinTree+WS,crop06,271,248,0.5898876404494382,0.3874538745387454,0.46770601336302897,73,166,0.6568265682656826
Macke-MinTree+WS,crop07,263,183,0.39361702127659576,0.14068441064638784,0.20728291316526612,57,226,0.3574144486692015
